Ticker;Nom;Type;Compte;Plateforme;Prix d'achat;Quantité;Commentaires
;Hermes;Action;PEA;Boursorama;1864.8;1;
;Air liquide;Action;PEA;Boursorama;171.36;2;
;Saint Gobain;Action;PEA;Boursorama;63.38;5;
;Amundi Eur STXBNK;Action;PEA;Boursorama;107.42;2;
;Alstom;Action;PEA;Boursorama;12.38;20;
;Amundi SP500 PEA;Action;PEA;Boursorama;34.16;4;
;Amundi;Action;PEA;Boursorama;55.84;2;
;Nvidia RG;Action;Compte Titre;Boursorama;443.68;3;
;Take Two Interac RG;Action;Compte Titre;Boursorama;140.64;4;
;Amundi FTSE ERPA;Action;Compte Titre;Boursorama;29.75;3;